id,fullText,createdAt,url,lang,author_userName,author_location,Reply To User,filter1_label
1816127590098489517,"que en @marcsarrats és un flipat és un fet. però poster tu també ho ets una mica o tots ho vam ser en algun moment. si vols descobrir-ho, no et perdis el seu show ‘alta flipamenta’, el primer especial de comèdia en català de la plataforma @som3cat!",24/07/2024 15:05,https://x.com/cruillabcn/status/1816127590098489517,ca,cruillabcn,Not Available,Not Available,1
1816168898737176636,@cruillabcn @jordigraupera @marcsarrats @som3cat meh. mediocre.,24/07/2024 17:49,https://x.com/catalarandom/status/1816168898737176636,es,catalarandom,Not Available,cruillabcn,1
1816376843416617128,@cruillabcn @marcsarrats @som3cat puffff,25/07/2024 07:36,https://x.com/cogitoe24590723/status/1816376843416617128,und,cogitoe24590723,Not Available,cruillabcn,1
1816408401099792810,"@cruillabcn @marcsarrats @som3cat passo, gràcies. a veure quan feu res de qualitat.",25/07/2024 09:41,https://x.com/carlesRP/status/1816408401099792810,ca,carlesrp,Not Available,cruillabcn,1
1816438124676878487,@cruillabcn @marcsarrats @som3cat ni puta gràcia.,25/07/2024 11:39,https://x.com/Bifurca2/status/1816438124676878487,ca,bifurca2,Not Available,cruillabcn,1
1816506195345113158,"@cruillabcn @marcsarrats @som3cat un flipat, un mediocre… i un bully.",25/07/2024 16:10,https://x.com/lletraferitbcn/status/1816506195345113158,ca,lletraferitbcn,Not Available,cruillabcn,1
1797531252460753276,"@renfe tren oficial del festival cruïlla del 10 al 13 de juliol, al parc del fòrum de barcelona les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:",03/06/2024 07:30,https://x.com/rodalies/status/1797531252460753276,ca,rodalies,Not Available,Not Available,1
1797557265781997744,"@rodalies @renfe bon dia, podeu compartir el horari dels autobusos que van de fabra i puig cap a montcada-ripollet com part de la r3? gràcies!",03/06/2024 09:13,https://x.com/mamesjorrison/status/1797557265781997744,ca,mamesjorrison,Not Available,rodalies,1
1797535991194104146,@rodalies @renfe per què no passen trens direcció barna?,03/06/2024 07:49,https://x.com/LaAbuelaTuerta/status/1797535991194104146,ca,laabuelatuerta,Not Available,rodalies,1
1797555802015965282,@rodalies @renfe r2 (sortida 10:59 a gràcia) direcció sant vicenç de calders té incidència?,03/06/2024 09:07,https://x.com/1899str/status/1797555802015965282,ca,1899str,Not Available,rodalies,1
