original_tweet_id,original_tweet_text,subphrase,Assigned_Topic_ID,Assignment_Confidence,Assigned_Topic_Name
0,Lildami lo dieron todo toa,Lildami lo dieron todo toa,0,0.3681283451965051,rollo
1,me encantó la comida del festival xq,me encantó la comida del festival xq,1,0.25397194881065094,comida
2,The Tyets hizo vibrar al público,The Tyets hizo vibrar al público,0,1.0,rollo
3,Audio brutal,Audio brutal,0,0.012322274124407166,rollo
4,La comida estuvo increíble,La comida estuvo increíble,1,1.0,comida
5,esperamos muchísimo para entrar,esperamos muchísimo para entrar,0,0.01085923207043533,rollo
6,Ambiente regular como siempre xq,Ambiente regular como siempre xq,4,1.0,ambiente
7,Audio brutal,Audio brutal,0,0.01231259359395236,rollo
8,Sonido distorsionado y muy alto porque fue brutal,Sonido distorsionado,0,0.009787290091577068,rollo
8,Sonido distorsionado y muy alto porque fue brutal,muy alto porque fue brutal,0,0.1696120080606089,rollo
9,Audio brutal,Audio brutal,0,0.012316025036207911,rollo
10,The Tyets lo dieron todo,The Tyets lo dieron todo,0,0.3623727951527221,rollo
11,Quevedo estuvo genial,Quevedo estuvo genial,0,0.3119900689299843,rollo
12,Sonido distorsionado y muy alto,Sonido distorsionado,0,0.009780762737494756,rollo
12,Sonido distorsionado y muy alto,muy alto,-1,0.16588899525622552,Unknown
13,audio brutal toa,audio brutal toa,0,0.012283988667760763,rollo
14,Bad Gyal lo dieron todo,Bad Gyal lo dieron todo,0,0.10784036642933037,rollo
15,La comida estuvo increíble,La comida estuvo increíble,1,1.0,comida
16,me encantó la comida del festival bno,me encantó la comida del festival bno,1,0.2536710455173971,comida
17,No había casi colas,No había casi colas,2,1.0,ambiente
18,El sonido fue perfecto ya que fue brutal,El sonido fue perfecto ya que fue brutal,5,1.0,ambiente
19,Muy buen ambiente cuando fue brutal,Muy buen ambiente cuando fue brutal,0,0.1745827440922205,rollo
20,Tiempos de espera razonables,Tiempos de espera razonables,-1,0.19371397677586394,Unknown
21,Tiempos de espera razonables,Tiempos de espera razonables,-1,0.19415457366867345,Unknown
22,Muy mal organizado todo porque fue brutal,Muy mal organizado todo porque fue brutal,3,1.0,organización
23,Tiempos de espera razonables k,Tiempos de espera razonables,-1,0.19432102628813877,Unknown
24,Ambiente regular como siempre,Ambiente regular como siempre,4,1.0,ambiente
25,Esperamos muchísimo para entrar,Esperamos muchísimo para entrar,0,0.010252818844065209,rollo
26,Ambiente cargado y mal rollo,Ambiente cargado,2,1.0,ambiente
26,Ambiente cargado y mal rollo,mal rollo,0,0.010534091230341217,rollo
27,Me encantó la comida del festival porque fue brutal,Me encantó la comida del festival porque fue brutal,1,1.0,comida
28,desastre en la organización,desastre en la organización,3,1.0,organización
29,La comida estuvo increíble,La comida estuvo increíble,1,1.0,comida
30,Organización como cualquier festival,Organización como cualquier festival,-1,0.2353242790868482,Unknown
31,Demasiada gente agobiante,Demasiada gente agobiante,0,0.010339709390768758,rollo
32,The Tyets estuvo genial,The Tyets estuvo genial,0,0.3579867551136884,rollo
33,Rosalía lo dieron todo,Rosalía lo dieron,0,1.0,rollo
34,tiempos de espera razonables xq,tiempos de espera razonables xq,-1,0.19542919408345916,Unknown
35,Colas interminables un desastre,Colas interminables un desastre,6,1.0,desastre
36,Demasiada gente agobiante,Demasiada gente agobiante,0,0.010333909572589393,rollo
37,Muy buen ambiente,Muy buen ambiente,5,1.0,ambiente
38,Tiempos de espera razonables,Tiempos de espera razonables,-1,0.1941870930716486,Unknown
39,Sonido distorsionado y muy alto,Sonido distorsionado,0,0.009770874523669761,rollo
39,Sonido distorsionado y muy alto,muy alto,-1,0.165848109528625,Unknown
40,Muy buen ambiente toa,Muy buen ambiente toa,5,1.0,ambiente
41,Sonido distorsionado y muy alto,Sonido distorsionado,0,0.009761427773408696,rollo
41,Sonido distorsionado y muy alto,muy alto,-1,0.16616122706625572,Unknown
42,Ambiente cargado y mal rollo cuando fue brutal,Ambiente cargado,2,1.0,ambiente
42,Ambiente cargado y mal rollo cuando fue brutal,mal rollo cuando fue brutal,0,0.19203226578861662,rollo
43,Carísima y mala la comida,mala la comida,1,1.0,comida
44,Esperamos muchísimo para entrar super biennn,Esperamos muchísimo para entrar super biennn,0,0.010218938678405834,rollo
45,Tiempos de espera razonables genialll,Tiempos de espera razonables genialll,-1,0.19405675861797533,Unknown
46,Comida normal nada especial,Comida normal,1,0.22828397377599563,comida
46,Comida normal nada especial,nada especial,-1,0.05705639238049703,Unknown
47,Organización como cualquier festival,Organización como cualquier festival,-1,0.2352237412241531,Unknown
48,el sonido fue perfecto,el sonido fue perfecto,5,1.0,ambiente
49,lildami estuvo genial,estuvo genial,0,0.3025620122508874,rollo
50,Audio brutal,Audio brutal,0,0.012317395445710476,rollo
51,Buhos hizo vibrar al público bno,Buhos hizo vibrar al público bno,0,1.0,rollo
52,rosalía decepcionante,rosalía decepcionante,0,0.6365273513770747,rollo
53,Muy buen ambiente,Muy buen ambiente,5,1.0,ambiente
54,Esperamos muchísimo para entrar cuando fue brutal,Esperamos muchísimo para entrar cuando fue brutal,0,0.010849489240349584,rollo
55,Buhos estuvo genial,Buhos estuvo genial,0,0.35064686213056495,rollo
57,Audio brutal,Audio brutal,0,0.012315693941791073,rollo
58,Esperamos muchísimo para entrar bno,Esperamos muchísimo para entrar bno,0,0.010211012047321041,rollo
59,No había casi colas,No había casi colas,2,1.0,ambiente
60,Lildami lo dieron todo,Lildami lo dieron todo,0,0.3698384853970575,rollo
61,Sonido distorsionado y muy alto porque fue brutal,Sonido distorsionado,0,0.009782099592012986,rollo
61,Sonido distorsionado y muy alto porque fue brutal,muy alto porque fue brutal,0,0.16957515306784476,rollo
62,Esperamos muchísimo para entrar,Esperamos muchísimo para entrar,0,0.010258912558736578,rollo
63,organización como cualquier festival,organización como cualquier festival,-1,0.23488402022975524,Unknown
64,comida normal nada especial,comida normal,1,0.22849116605134992,comida
64,comida normal nada especial,nada especial,-1,0.057054847363513024,Unknown
65,Comida normal nada especial,Comida normal,1,0.22858011319814145,comida
65,Comida normal nada especial,nada especial,-1,0.05712777386929967,Unknown
66,Desastre en la organización,Desastre en la organización,3,1.0,organización
67,Muy mal organizado todo,Muy mal organizado todo,3,1.0,organización
68,Organización como cualquier festival bno,Organización como cualquier festival bno,-1,0.23545166348417243,Unknown
69,tiempos de espera razonables,tiempos de espera razonables,-1,0.19485077997048478,Unknown
70,Muy mal organizado todo,Muy mal organizado todo,3,1.0,organización
71,Colas interminables un desastre,Colas interminables un desastre,6,1.0,desastre
72,Ambiente cargado y mal rollo,Ambiente cargado,2,1.0,ambiente
72,Ambiente cargado y mal rollo,mal rollo,0,0.010536356015223926,rollo
73,Muy mal organizado todo genialll,Muy mal organizado todo,3,1.0,organización
74,Rigoberta Bandini hizo vibrar al público,Rigoberta Bandini hizo vibrar al público,0,1.0,rollo
75,bad gyal lo dieron todo cuando fue brutal,bad gyal lo dieron todo cuando fue brutal,0,0.10793130666289799,rollo
76,Muy mal organizado todo,Muy mal organizado todo,3,1.0,organización
77,ambiente cargado y mal rollo,ambiente cargado,2,1.0,ambiente
77,ambiente cargado y mal rollo,mal rollo,0,0.010557866927159822,rollo
78,Rosalía lo dieron todo porque fue brutal,Rosalía lo dieron todo porque fue brutal,0,0.1785606113596579,rollo
79,Todo muy bien organizado,Todo muy bien organizado,4,1.0,ambiente
