id,fullText,createdAt,url,lang,author_userName,author_location,Reply To User,is_relevant,similarity,gold_relevance
1470103233741873152,¿cuál ha sido el mejor concierto al que has ido este año?,12/12/2021 18:48,https://x.com/Claqueteados/status/1470103233741873152,es,claqueteados,Not Available,Not Available,True,0.5869669318199158,True
1656768852502380545,"@cruillabcn @estrelladammcat @vueling @vallformosa @johnniewalker_ @placeboworld @offspring @sigurros @alt_j @franz_ferdinand @leiva_oficial @antonia_font @rubenblades aneu a cagar. viva suecia - cala vento, franz ferdinand - carolina durante solapats",11/05/2023 21:10,https://x.com/del4rco/status/1656768852502380545,es,del4rco,Not Available,cruillabcn,True,1.0,True
1186546906270502912,"@cruillabcn @punt_cat9 us heu deixat el subjecte, que és essencial. spain. gràcies de totes maneres.",22/10/2019 7:36,https://x.com/ProfAndrago/status/1186546906270502912,ca,profandrago,Not Available,cruillabcn,True,1.0,True
620139652079579136,@candeloide @yellowmellowmg yo también quiero,12/07/2015 7:56,https://x.com/erirguezz/status/620139652079579136,es,erirguezz,Not Available,Candeloide,False,0.18509846925735474,False
618170477354348544,"@estrelladammcat @jamiecullum @cruillabcn dificil triar només una cançó, però em quedo amb ""all at sea""! i vull anar amb la @monicacondins!",06/07/2015 21:31,https://x.com/Laaau_vm/status/618170477354348544,ca,laaau_vm,Not Available,EstrellaDammCat,False,0.31457599997520447,True
489327577291849728,@fcbarcelona go barca go :),16/07/2014 8:36,https://x.com/borkasfab/status/489327577291849728,pt,borkasfab,Not Available,FCBarcelona,True,0.42479199171066284,False
1176872120602845185,"@cruillabcn dr.calypso milefo bunbury (insuperable) red hot chili peppers [sant jordi 2006] bunbury i extremoduro jack white, altra vegada al cruïlla, amb “the raconteurs” enrolleu-vos!!",25/09/2019 14:52,https://x.com/Oscar_Fleurs/status/1176872120602845185,ca,oscar_fleurs,Not Available,cruillabcn,True,1.0,True
1413749583277174786,@europapress desde mi casa en murcia en directo he escuchado la canción : libertad para contagiarnos !,10/07/2021 6:39,https://x.com/mercede05342801/status/1413749583277174786,es,mercede05342801,Not Available,europapress,False,0.3173390030860901,False
1678496463645470731,@offspring @cruillabcn if i had met you on the train.. omg,10/07/2023 20:08,https://x.com/persequendi/status/1678496463645470731,en,persequendi,Not Available,offspring,False,0.2924572229385376,True
1412431184928382977,@cruillabcn @gote8 ¿el plazo de devoluciones acaba el 30 junio?¿en que casos?¿si antes del festival das positivo en covid y/o estas aislado por contacto estrecho entiendo que no aplica este plazo no?,06/07/2021 15:20,https://x.com/Whoknowswhe/status/1412431184928382977,es,whoknowswhe,Not Available,cruillabcn,True,1.0,True
1725136792456732863,@cruillabcn @smashingpumpkin @avrillavigne @amaraloficial @oquesgrasses @truenooficiai @thetyets @shinovaoficial @figaflawas @estrelladammcat @seetickets_es @albert_pla realment sou un festival amb tlp eh?,16/11/2023 13:00,https://x.com/emperadriu_/status/1725136792456732863,ca,emperadriu_,Not Available,cruillabcn,True,1.0,True
1413755227900190724,"@europapress si se están haciendo antígenos para celebrar este tipo de eventos , no es que me parezca lo más seguro, pero es una forma de retomar las cosas. creo que los comentarios son por el titular y no se lee la noticia.",10/07/2021 7:01,https://x.com/aingerux/status/1413755227900190724,es,aingerux,Not Available,europapress,True,0.42641425132751465,False
1812504253354717525,"@planetaamaral @comolocosmusik muchas gracias, no paro de oir rompehielos desde que la sacaron y la escuche en directo hace unas semanas",14/07/2024 15:07,https://x.com/esther_trota/status/1812504253354717525,es,esther_trota,Not Available,PlanetaAmaral,True,0.3755843937397003,False
727812150698385408,@cruillabcn @acamaralentabcn @aquarius_esp @estrelladammcat,04/05/2016 10:48,https://x.com/ujaque_kiko/status/727812150698385408,qme,ujaque_kiko,Not Available,cruillabcn,True,1.0,True
1412422351480819716,fil de preguntes i respostes sobre com afecten a la cultura les mesures que ha anunciat avui el procicat.,06/07/2021 14:45,https://x.com/cultura_cat/status/1412422351480819716,ca,cultura_cat,Not Available,Not Available,True,0.38209691643714905,False
880682353475145728,@clipsterbcn @bravafabrics @markgifer @munichsports cada dia més guapo!,30/06/2017 7:00,https://x.com/lapreguntavital/status/880682353475145728,es,lapreguntavital,Not Available,ClipsterBCN,False,0.3334991931915283,False
1413063013985406976,"bon dia! tot a punt per al festival cruïlla, tercera etapa del tour d’antígens.",08/07/2021 9:10,https://x.com/xcervantes1/status/1413063013985406976,ca,xcervantes1,Not Available,Not Available,True,0.5698447823524475,True
1882006366854017459,@carlesrp nusé... però el món s'acaba per culpa del trump,22/01/2025 10:04,https://x.com/Savallsblog/status/1882006366854017459,ca,savallsblog,Not Available,carlesRP,True,0.3771892189979553,False
1285181873375924224,@cruillabcn,20/07/2020 11:56,https://x.com/pierred_la/status/1285181873375924224,qme,pierred_la,Not Available,cruillabcn,True,1.0,True
