id,fullText,createdAt,url,lang,author_userName,author_location,Reply To User,is_relevant,similarity,gold_relevance
1470103233741873152,¿cuál ha sido el mejor concierto al que has ido este año?,12/12/2021 18:48,https://x.com/Claqueteados/status/1470103233741873152,es,claqueteados,Not Available,Not Available,True,5.869.669.318.199.150,True
1656768852502380545,"@cruillabcn @estrelladammcat @vueling @vallformosa @johnniewalker_ @placeboworld @offspring @sigurros @alt_j @franz_ferdinand @leiva_oficial @antonia_font @rubenblades aneu a cagar. viva suecia - cala vento, franz ferdinand - carolina durante solapats",11/05/2023 21:10,https://x.com/del4rco/status/1656768852502380545,es,del4rco,Not Available,cruillabcn,True,1.0,True
1186546906270502912,"@cruillabcn @punt_cat9 us heu deixat el subjecte, que és essencial. spain. gràcies de totes maneres.",22/10/2019 7:36,https://x.com/ProfAndrago/status/1186546906270502912,ca,profandrago,Not Available,cruillabcn,True,1.0,True
620139652079579136,@candeloide @yellowmellowmg yo también quiero,12/07/2015 7:56,https://x.com/erirguezz/status/620139652079579136,es,erirguezz,Not Available,Candeloide,False,2.576.670.944.690.700,False
618170477354348544,"@estrelladammcat @jamiecullum @cruillabcn dificil triar només una cançó, però em quedo amb ""all at sea""! i vull anar amb la @monicacondins!",06/07/2015 21:31,https://x.com/Laaau_vm/status/618170477354348544,ca,laaau_vm,Not Available,EstrellaDammCat,True,3.145.759.999.752.040,True
489327577291849728,@fcbarcelona go barca go :),16/07/2014 8:36,https://x.com/borkasfab/status/489327577291849728,pt,borkasfab,Not Available,FCBarcelona,False,4.247.919.917.106.620,False
1176872120602845185,"@cruillabcn dr.calypso milefo bunbury (insuperable) red hot chili peppers [sant jordi 2006] bunbury i extremoduro jack white, altra vegada al cruïlla, amb “the raconteurs” enrolleu-vos!!",25/09/2019 14:52,https://x.com/Oscar_Fleurs/status/1176872120602845185,ca,oscar_fleurs,Not Available,cruillabcn,True,1.0,True
1413749583277174786,@europapress desde mi casa en murcia en directo he escuchado la canción : libertad para contagiarnos !,10/07/2021 6:39,https://x.com/mercede05342801/status/1413749583277174786,es,mercede05342801,Not Available,europapress,False,3.173.390.030.860.900,False
1678496463645470731,@offspring @cruillabcn if i had met you on the train.. omg,10/07/2023 20:08,https://x.com/persequendi/status/1678496463645470731,en,persequendi,Not Available,offspring,True,3.484.344.780.445.090,True
1412431184928382977,@cruillabcn @gote8 ¿el plazo de devoluciones acaba el 30 junio?¿en que casos?¿si antes del festival das positivo en covid y/o estas aislado por contacto estrecho entiendo que no aplica este plazo no?,06/07/2021 15:20,https://x.com/Whoknowswhe/status/1412431184928382977,es,whoknowswhe,Not Available,cruillabcn,True,1.0,True
1725136792456732863,@cruillabcn @smashingpumpkin @avrillavigne @amaraloficial @oquesgrasses @truenooficiai @thetyets @shinovaoficial @figaflawas @estrelladammcat @seetickets_es @albert_pla realment sou un festival amb tlp eh?,16/11/2023 13:00,https://x.com/emperadriu_/status/1725136792456732863,ca,emperadriu_,Not Available,cruillabcn,True,1.0,True
