id,Post Text,Post Date,Post URL,Post Language,Author Username,Author Location,Reply To User
1816127590098489517,"que en @marcsarrats és un flipat és un fet. però poster tu també ho ets una mica o tots ho vam ser en algun moment. si vols descobrir-ho, no et perdis el seu show ‘alta flipamenta’, el primer especial de comèdia en català de la plataforma @som3cat!",Wed Jul 24 15:05:34 +0000 2024,https://x.com/cruillabcn/status/1816127590098489517,ca,cruillabcn,Not Available,Not Available
1816168898737176636,@cruillabcn @jordigraupera @marcsarrats @som3cat meh. mediocre.,Wed Jul 24 17:49:42 +0000 2024,https://x.com/catalarandom/status/1816168898737176636,es,catalarandom,Not Available,cruillabcn
1816376843416617128,@cruillabcn @marcsarrats @som3cat puffff,Thu Jul 25 07:36:00 +0000 2024,https://x.com/cogitoe24590723/status/1816376843416617128,und,cogitoe24590723,Not Available,cruillabcn
1816408401099792810,"@cruillabcn @marcsarrats @som3cat passo, gràcies. a veure quan feu res de qualitat.",Thu Jul 25 09:41:24 +0000 2024,https://x.com/carlesRP/status/1816408401099792810,ca,carlesRP,Not Available,cruillabcn
1816438124676878487,@cruillabcn @marcsarrats @som3cat ni puta gràcia.,Thu Jul 25 11:39:31 +0000 2024,https://x.com/Bifurca2/status/1816438124676878487,ca,Bifurca2,Not Available,cruillabcn
1816506195345113158,"@cruillabcn @marcsarrats @som3cat un flipat, un mediocre… i un bully.",Thu Jul 25 16:10:00 +0000 2024,https://x.com/lletraferitbcn/status/1816506195345113158,ca,lletraferitbcn,Not Available,cruillabcn
1797531252460753276,"@renfe tren oficial del festival cruïlla del 10 al 13 de juliol, al parc del fòrum de barcelona les estacions de rodalies de sant adrià del besòs i el clot són les més properes al recinte més informació a:",Mon Jun 03 07:30:21 +0000 2024,https://x.com/rodalies/status/1797531252460753276,ca,rodalies,Not Available,Not Available
1797557265781997744,"@rodalies @renfe bon dia, podeu compartir el horari dels autobusos que van de fabra i puig cap a montcada-ripollet com part de la r3? gràcies!",Mon Jun 03 09:13:43 +0000 2024,https://x.com/mamesjorrison/status/1797557265781997744,ca,mamesjorrison,Not Available,rodalies
1797558753383842169,"@mamesjorrison @renfe bon dia, no hi ha un horari fix, ja que el servei de bus espera les arribades/sortides dels trens a montcada-bifurcació. com a mesura orientativa, t'indiquem que la freqüència de pas aproximada és cada 30 minuts. salutacions.",Mon Jun 03 09:19:38 +0000 2024,https://x.com/rodalies/status/1797558753383842169,ca,rodalies,Not Available,mamesjorrison
1797535991194104146,@rodalies @renfe per què no passen trens direcció barna?,Mon Jun 03 07:49:11 +0000 2024,https://x.com/LaAbuelaTuerta/status/1797535991194104146,ca,LaAbuelaTuerta,Not Available,rodalies
1797536527196516678,"@laabuelatuerta @renfe bon dia, si ens indiques la teva estació d'origen et podrem informar amb precisió.",Mon Jun 03 07:51:19 +0000 2024,https://x.com/rodalies/status/1797536527196516678,ca,rodalies,Not Available,LaAbuelaTuerta
1797555802015965282,@rodalies @renfe r2 (sortida 10:59 a gràcia) direcció sant vicenç de calders té incidència?,Mon Jun 03 09:07:54 +0000 2024,https://x.com/1899str/status/1797555802015965282,ca,1899str,Not Available,rodalies
1797558297949594049,"@1899str @renfe bon dia, el teu tren està demorant la seva sortida per una incidència a l'estació d'origen. quan disposem d'hora de pas ho comunicarem per megafonia i pantalles informatives. disculpes.",Mon Jun 03 09:17:49 +0000 2024,https://x.com/rodalies/status/1797558297949594049,ca,rodalies,Not Available,1899str
1797677627869958392,@rodalies @renfe pot ser que encara no hagi rebut els 10€ del abonament del gener abril? com ho puc reclamar?,Mon Jun 03 17:12:00 +0000 2024,https://x.com/miquipujol/status/1797677627869958392,ca,miquipujol,Not Available,rodalies
1797678040388104321,"@miquipujol @renfe bona tarda, pots apropar-te a una de les taquilles per omplir un formulari de devolució.",Mon Jun 03 17:13:38 +0000 2024,https://x.com/rodalies/status/1797678040388104321,ca,rodalies,Not Available,miquipujol
1797535277009060162,@rodalies @renfe si no voleu arribar tard millor aneu a peu.,Mon Jun 03 07:46:21 +0000 2024,https://x.com/isard118/status/1797535277009060162,ca,isard118,Not Available,rodalies
1797540551618875587,"@rodalies @renfe uiiiii síiii, unes estacions molt properes al festival. i per tornar-ne com t’ho fas a aquella hora?",Mon Jun 03 08:07:18 +0000 2024,https://x.com/VicencBigas/status/1797540551618875587,ca,VicencBigas,Not Available,rodalies
1813133487479636254,fell for the domino dancing! els llegendaris @petshopboys van convertir el festival cruïlla en la disco dels nostres somnis algú més que encara no hagi superat aquest concertàs?,Tue Jul 16 08:48:04 +0000 2024,https://x.com/cruillabcn/status/1813133487479636254,ca,cruillabcn,Not Available,Not Available
1814680675934511452,@cruillabcn @petshopboys @estrelladammcat one week later @cruillabcn and @petshopboys are always on my mind!,Sat Jul 20 15:16:02 +0000 2024,https://x.com/marcosantonr/status/1814680675934511452,en,marcosantonr,Not Available,cruillabcn
1813319912099827888,"@cruillabcn @petshopboys @estrelladammcat encara l'estic païnt! és més, voldria repetir-lo!",Tue Jul 16 21:08:51 +0000 2024,https://x.com/AngieBCN/status/1813319912099827888,ca,AngieBCN,Not Available,cruillabcn
1813680198883438917,@cruillabcn @petshopboys @estrelladammcat,Wed Jul 17 21:00:30 +0000 2024,https://x.com/Jo_Catala/status/1813680198883438917,qme,Jo_Catala,Not Available,cruillabcn
1813959535650087117,"@cruillabcn @petshopboys @estrelladammcat una llàstima que els hi faltes 1000watts mes de potencia …..gran grup, gran concert però poca “chicha”…..",Thu Jul 18 15:30:29 +0000 2024,https://x.com/BenSitges/status/1813959535650087117,ca,BenSitges,Not Available,cruillabcn
1811749374524817483,"""el sonero del mundo"" oscar d'león recibió su cumpleaños 81 cantando en el festival de cruïlla en barcelona, españa",Fri Jul 12 13:08:06 +0000 2024,https://x.com/discosdesalsa/status/1811749374524817483,es,discosdesalsa,Not Available,Not Available
1811768564677820844,@discosdesalsa inacabable!!!,Fri Jul 12 14:24:21 +0000 2024,https://x.com/VictorParedesC5/status/1811768564677820844,es,VictorParedesC5,Not Available,discosdesalsa
1811929042536235105,@discosdesalsa 81? alli se ve es 18,Sat Jul 13 01:02:02 +0000 2024,https://x.com/zamuro21321/status/1811929042536235105,es,zamuro21321,Not Available,discosdesalsa
1812090117613388218,@discosdesalsa que roble mi óscar d'león,Sat Jul 13 11:42:05 +0000 2024,https://x.com/NhoraCortes2014/status/1812090117613388218,es,NhoraCortes2014,Not Available,discosdesalsa
1812191048296206383,@discosdesalsa el claro ejemplo que la edad es solo números,Sat Jul 13 18:23:09 +0000 2024,https://x.com/MiguelDavidR/status/1812191048296206383,es,MiguelDavidR,Not Available,discosdesalsa
1812232684258709817,@discosdesalsa con 30 años menos y no tengo su vitalidad.,Sat Jul 13 21:08:36 +0000 2024,https://x.com/goyito_014/status/1812232684258709817,es,goyito_014,Not Available,discosdesalsa
1812323310505529741,@discosdesalsa grande óscar,Sun Jul 14 03:08:43 +0000 2024,https://x.com/henriquezr4/status/1812323310505529741,es,henriquezr4,Not Available,discosdesalsa
1811679393514713261,from 6am in the morning waiting to see @avrillavigne perform today in barcelona at the cruilla festival!,Fri Jul 12 08:30:01 +0000 2024,https://x.com/iAvrilSpain_/status/1811679393514713261,en,iAvrilSpain_,Not Available,Not Available
1811683791322181924,@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost the holy avril poster lmao,Fri Jul 12 08:47:29 +0000 2024,https://x.com/DarkStarF22/status/1811683791322181924,en,DarkStarF22,Not Available,iAvrilSpain_
1811753661409710468,@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost a qué hora empezó a llegar la gente?,Fri Jul 12 13:25:08 +0000 2024,https://x.com/sira251/status/1811753661409710468,es,sira251,Not Available,iAvrilSpain_
1811803046143254954,"@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost amazing enjoy the show!!! portugal is just around the corner, she could just pop up haha",Fri Jul 12 16:41:22 +0000 2024,https://x.com/RitaMaruco/status/1811803046143254954,en,RitaMaruco,Not Available,iAvrilSpain_
1811999788306502063,@iavrilspain_ @avrillavigne @fihh @mariamocciaati @laauuriiss @packspali @margaraydiaz @ricjimenezfer @yisusss______ @itssangokghost,Sat Jul 13 05:43:09 +0000 2024,https://x.com/jeessmagalhaes/status/1811999788306502063,qme,jeessmagalhaes,Not Available,iAvrilSpain_
1923376885515297085,"new photo of @avrillavigne in the video of ""young &amp; dumb""",Fri May 16 13:55:58 +0000 2025,https://x.com/iAvrilSpain_/status/1923376885515297085,en,iAvrilSpain_,Not Available,Not Available
